簡単な説明。「次へ」を押してください。,1
「次へ」を押すと次のカードに移動します。,2
「戻る」を押すと前のカードに移動します。,3
「裏返す」を押すと現在のカードの裏を表示します。,4
カード部分をクリックした後だと、矢印キーが使えます。,5
「シャッフル」ボタンを押すとランダムにカードを抽出します。,6
「ファイルを開く」を押すと閲覧するデータを変更できます。,7
次回起動時には以前開いたデータを表示するようになっています。,8
「編集モードへ」を押すと「編集モード」になります。,9
「編集モード」の説明に移ります。,10
「編集モード」では機能は貧弱ですが、一応データを編集できます。,11
要素の編集はセルのダブルクリック出来ます。,12
入力が確定したら、エンターで確定してください。,13
上に移動、下に移動で行の移動ができます。,14
行の追加、行の削除で行の増減が可能となっています。,15
行の移動、行の追加、行の削除は複数行選択が可能です。,16
「リセット」で変更を破棄することが出来ます。,17
「名前をつけて保存」で新しくファイルを保存します。,18
「保存」で上書き保存になります。,19
データ形式はCSV形式となっています。,20
なので、エクセルでデータ編集できます。,21
注意点としては、エクセルではカンマはデータの入力に使えません。,22
編集モードでは一応カンマが使えます。,23
編集モードは簡易的な機能であることを理解してください。,24
以上で説明を終了します。,25
あと、問題点。メモリ使用量が多いです,26
